Rank,Title,Year,Rating,Genre,Director,URL
1,The Shawshank Redemption,1994,9.3,"Epic, Period Drama, Prison Drama",Frank Darabont,https://www.imdb.com/title/tt0111161/?ref_=chttp_i_1
2,The Godfather,1972,9.2,"Epic, Gangster, Tragedy",Francis Ford Coppola,https://www.imdb.com/title/tt0068646/?ref_=chttp_i_2
3,The Dark Knight,2008,9.0,"Action Epic, Epic, Superhero",Christopher Nolan,https://www.imdb.com/title/tt0468569/?ref_=chttp_i_3
4,The Godfather Part II,1974,9.0,"Epic, Gangster, Tragedy",Francis Ford Coppola,https://www.imdb.com/title/tt0071562/?ref_=chttp_i_4
5,12 Angry Men,1957,9.0,"Legal Drama, Psychological Drama, Crime",Sidney Lumet,https://www.imdb.com/title/tt0050083/?ref_=chttp_i_5
6,The Lord of the Rings: The Return of the King,2003,9.0,"Action Epic, Adventure Epic, Epic",Peter Jackson,https://www.imdb.com/title/tt0167260/?ref_=chttp_i_6
7,Schindler's List,1993,9.0,"Docudrama, Epic, Historical Epic",Steven Spielberg,https://www.imdb.com/title/tt0108052/?ref_=chttp_i_7
8,Pulp Fiction,1994,8.9,"Dark Comedy, Drug Crime, Gangster",Quentin Tarantino,https://www.imdb.com/title/tt0110912/?ref_=chttp_i_8
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,"Action Epic, Adventure Epic, Dark Fantasy",Peter Jackson,https://www.imdb.com/title/tt0120737/?ref_=chttp_i_9
10,"The Good, the Bad and the Ugly",1966,8.8,"Adventure Epic, Dark Comedy, Desert Adventure",Sergio Leone,https://www.imdb.com/title/tt0060196/?ref_=chttp_i_10
11,Forrest Gump,1994,8.8,"Epic, Drama, Romance",Robert Zemeckis,https://www.imdb.com/title/tt0109830/?ref_=chttp_i_11
12,The Lord of the Rings: The Two Towers,2002,8.8,"Action Epic, Adventure Epic, Dark Fantasy",Peter Jackson,https://www.imdb.com/title/tt0167261/?ref_=chttp_i_12
